,date
0,2020
1,2021
2,2020
3,2020
4,2021
5,2021
6,2020
7,2020
8,2021
9,2019
10,2020
11,2021
12,2021
13,2021
14,2020
15,2019
16,2021
17,2020
18,2021
19,2020
20,2021
21,2020
22,2021
23,2021
24,2019
25,2021
26,2020
27,2019
28,2019
29,2021
30,2020
31,2019
32,2020
33,2020
34,2019
35,2021
36,2021
37,2021
38,2020
39,2019
40,2019
41,2020
42,2021
43,2020
44,2020
45,2020
46,2020
47,2021
48,2020
49,2021
50,2020
51,2019
52,2019
53,2020
54,2021
55,2020
56,2017
57,2017
58,2018
59,2018
60,2018
61,2017
62,2017
63,2017
64,2018
65,2016
66,2017
67,2017
68,2018
69,2016
70,2017
71,2017
72,2017
73,2017
74,2016
75,2017
76,2017
77,2017
78,2016
79,2017
80,2017
81,2016
82,2016
83,2017
84,2016
85,2017
86,2016
87,2016
88,2016
89,2016
90,2016
91,2016
92,2016
93,2016
94,2016
95,2020
96,2018
97,2016
98,2018
99,2019
100,2021
101,2020
102,2018
103,2018
104,2021
105,2020
106,2018
107,2019
108,2020
109,2020
110,2020
111,2020
112,2020
113,2018
114,2016
115,2016
116,2020
117,2020
118,2016
119,2020
120,2018
121,2020
122,2017
123,2019
124,2020
125,2020
126,2020
127,2020
128,2019
129,2020
130,2020
131,2016
132,2020
133,2020
134,2016
135,2016
136,2019
137,2020
138,2020
139,2020
140,2017
141,2020
142,2017
143,2017
144,2020
145,2018
146,2020
147,2016
148,2020
149,2019
150,2017
151,2020
152,2020
153,2020
154,2020
155,2020
156,2020
157,2020
158,2020
159,2018
160,2020
161,2020
162,2018
163,2020
164,2020
165,2020
166,2020
167,2020
168,2020
169,2019
170,2020
171,2021
172,2016
173,2020
174,2020
175,2020
176,2020
177,2016
178,2020
179,2020
180,2016
181,2020
182,2016
183,2016
184,2016
185,2016
186,2020
187,2021
188,2018
189,2016
190,2016
191,2016
192,2020
193,2020
194,2016
195,2020
196,2016
197,2020
198,2020
199,2020
200,2018
201,2016
202,2016
203,2016
204,2020
205,2019
206,2020
207,2020
208,2019
209,2020
210,2019
211,2020
212,2016
213,2020
214,2018
215,2020
216,2020
217,2016
218,2019
219,2020
220,2020
221,2018
222,2017
223,2019
224,2019
225,2018
226,2018
227,2019
228,2020
229,2019
230,2017
231,2019
232,2019
233,2017
234,2019
235,2020
236,2020
237,2016
238,2018
239,2019
240,2020
241,2018
242,2019
243,2018
244,2020
245,2021
246,2019
247,2017
248,2020
249,2016
250,2020
251,2016
252,2019
253,2019
254,2020
255,2016
256,2020
257,2020
258,2018
259,2017
260,2021
261,2018
262,2020
263,2016
264,2017
265,2016
266,2019
267,2020
268,2018
269,2020
270,2017
271,2018
272,2020
273,2020
274,2017
275,2020
276,2020
277,2018
278,2017
279,2020
280,2020
281,2017
282,2018
283,2016
284,2019
285,2019
286,2021
287,2021
288,2017
289,2019
290,2018
291,2019
292,2016
293,2019
294,2017
295,2020
296,2020
297,2019
298,2020
299,2020
300,2021
301,2020
302,2019
303,2019
304,2018
305,2017
306,2020
307,2019
308,2019
309,2021
310,2020
311,2018
312,2018
313,2020
314,2017
315,2020
316,2020
317,2018
318,2018
319,2017
320,2019
321,2016
322,2019
323,2019
324,2020
325,2017
326,2019
327,2019
328,2018
329,2019
330,2021
331,2020
332,2019
333,2019
334,2020
335,2019
336,2019
337,2021
338,2019
339,2016
340,2019
341,2019
342,2018
343,2021
344,2017
345,2020
346,2018
347,2019
348,2017
349,2019
350,2018
351,2016
352,2020
353,2017
354,2019
355,2018
356,2020
357,2018
358,2018
359,2018
360,2016
361,2016
362,2017
363,2019
364,2019
365,2019
366,2016
367,2019
368,2018
369,2020
370,2021
371,2018
372,2016
373,2019
374,2019
375,2018
376,2016
377,2020
378,2019
379,2016
380,2017
381,2018
382,2020
383,2019
384,2019
385,2016
386,2017
387,2018
388,2020
389,2019
390,2017
391,2018
392,2017
393,2020
394,2016
395,2016
396,2020
397,2017
398,2019
399,2020
400,2016
401,2018
402,2018
403,2019
404,2019
405,2020
406,2020
407,2019
408,2018
409,2017
410,2017
411,2017
412,2016
413,2019
414,2019
415,2018
416,2018
417,2017
418,2017
419,2016
420,2016
421,2017
422,2020
423,2018
424,2020
425,2019
426,2020
427,2017
428,2019
429,2016
430,2018
431,2019
432,2017
433,2017
434,2020
435,2018
436,2020
437,2017
438,2017
439,2019
440,2019
441,2017
442,2019
443,2020
444,2017
445,2017
446,2016
447,2019
448,2019
449,2019
450,2017
451,2019
452,2021
453,2018
454,2017
455,2017
456,2017
457,2018
458,2017
459,2017
460,2018
461,2020
462,2019
463,2017
464,2020
465,2020
466,2020
467,2018
468,2019
469,2018
470,2019
471,2019
472,2019
473,2019
474,2019
475,2017
476,2018
477,2020
478,2019
479,2020
480,2017
481,2017
482,2017
483,2017
484,2020
485,2017
486,2018
487,2018
488,2019
489,2017
490,2017
491,2018
492,2020
493,2021
494,2017
495,2016
496,2017
497,2021
498,2018
499,2016
500,2017
501,2021
502,2016
503,2020
504,2018
505,2016
506,2021
507,2016
508,2018
509,2017
510,2019
511,2019
512,2016
513,2017
514,2017
515,2016
516,2019
517,2020
518,2018
519,2019
520,2018
521,2017
522,2019
523,2016
524,2018
525,2016
526,2018
527,2020
528,2018
529,2019
530,2016
531,2017
532,2018
533,2019
534,2017
535,2016
536,2016
537,2019
538,2019
539,2016
540,2017
541,2018
542,2019
543,2019
544,2019
545,2017
546,2018
547,2017
548,2016
549,2019
550,2017
551,2018
552,2020
553,2019
554,2016
555,2019
556,2018
557,2017
558,2016
559,2016
560,2021
561,2019
562,2017
563,2016
564,2016
565,2019
566,2016
567,2018
568,2017
569,2016
570,2019
571,2017
572,2017
573,2017
574,2017
575,2019
576,2017
577,2019
578,2018
579,2020
580,2020
581,2018
582,2016
583,2019
584,2019
585,2016
586,2016
587,2017
588,2018
589,2016
590,2016
591,2016
592,2019
593,2017
594,2021
595,2018
596,2017
597,2019
598,2020
599,2018
600,2017
601,2020
602,2019
603,2017
604,2020
605,2016
606,2018
607,2019
608,2019
609,2019
610,2019
611,2017
612,2017
613,2017
614,2016
615,2019
616,2019
617,2018
618,2019
619,2017
620,2018
621,2021
622,2018
623,2018
624,2018
625,2018
626,2016
627,2017
628,2017
629,2017
630,2018
631,2020
632,2016
633,2018
634,2018
635,2020
636,2018
637,2020
638,2018
639,2018
640,2018
641,2017
642,2017
643,2017
644,2017
645,2018
646,2020
647,2018
648,2020
649,2017
650,2019
651,2018
652,2019
653,2017
654,2020
655,2016
656,2018
657,2020
658,2020
659,2019
660,2016
661,2016
662,2019
663,2017
664,2018
665,2017
666,2020
667,2018
668,2021
669,2018
670,2020
671,2019
672,2018
673,2016
674,2019
675,2018
676,2020
677,2018
678,2017
679,2019
680,2019
681,2018
682,2017
683,2017
684,2018
685,2020
686,2019
687,2018
688,2020
689,2020
690,2018
691,2017
692,2017
693,2018
694,2021
695,2017
696,2016
697,2018
698,2019
699,2019
700,2017
701,2018
702,2017
703,2020
704,2018
705,2017
706,2018
707,2018
708,2019
709,2017
710,2018
711,2017
712,2016
713,2020
714,2016
715,2016
716,2019
717,2019
718,2016
719,2020
720,2018
721,2020
722,2017
723,2020
724,2020
725,2016
726,2018
727,2019
728,2018
729,2016
730,2020
731,2016
732,2020
733,2018
734,2018
735,2019
736,2017
737,2017
738,2017
739,2016
740,2020
741,2017
742,2019
743,2018
744,2016
745,2018
746,2016
747,2020
748,2017
749,2019
750,2017
751,2019
752,2020
753,2019
754,2017
755,2017
756,2017
757,2017
758,2017
759,2019
760,2019
761,2016
762,2017
763,2017
764,2017
765,2020
766,2017
767,2017
768,2017
769,2016
770,2020
771,2019
772,2017
773,2019
774,2020
775,2016
776,2019
777,2018
778,2020
779,2018
780,2021
781,2019
782,2017
783,2016
784,2017
785,2017
786,2020
787,2016
788,2018
789,2016
790,2018
791,2020
792,2018
793,2016
794,2018
795,2020
796,2016
797,2020
798,2019
799,2019
800,2018
801,2018
802,2016
803,2019
804,2017
805,2016
806,2020
807,2016
808,2018
809,2016
810,2017
811,2019
812,2021
813,2017
814,2016
815,2018
816,2017
817,2016
818,2016
819,2019
820,2019
821,2017
822,2017
823,2017
824,2019
825,2019
826,2019
827,2016
828,2019
829,2017
830,2018
831,2016
832,2017
833,2017
834,2021
835,2016
836,2019
837,2019
838,2017
839,2018
840,2017
841,2019
842,2017
843,2020
844,2019
845,2018
846,2017
847,2020
848,2018
849,2020
850,2019
851,2017
852,2016
853,2017
854,2018
855,2017
856,2016
857,2017
858,2021
859,2018
860,2020
861,2018
862,2019
863,2020
864,2016
865,2020
866,2018
867,2020
868,2016
869,2019
870,2018
871,2019
872,2020
873,2016
874,2016
875,2016
876,2019
877,2016
878,2016
879,2019
880,2016
881,2019
882,2017
883,2020
884,2019
885,2019
886,2019
887,2019
888,2017
889,2019
890,2016
891,2018
892,2017
893,2016
894,2020
895,2018
896,2017
897,2016
898,2016
899,2017
900,2020
901,2020
902,2017
903,2017
904,2019
905,2020
906,2020
907,2016
908,2016
909,2020
910,2018
911,2020
912,2017
913,2016
914,2020
915,2021
916,2016
917,2016
918,2020
919,2017
920,2016
921,2020
922,2016
923,2020
924,2019
925,2016
926,2016
927,2019
928,2018
929,2017
930,2016
931,2017
932,2016
933,2019
934,2019
935,2019
936,2017
937,2019
938,2020
939,2016
940,2020
941,2019
942,2017
943,2019
944,2021
945,2017
946,2018
947,2017
948,2017
949,2019
950,2019
951,2019
952,2020
953,2020
954,2016
955,2021
956,2020
957,2017
958,2017
959,2017
960,2016
961,2018
962,2020
963,2019
964,2019
965,2020
966,2017
967,2016
968,2016
