,date
0,2020
1,2021
2,2020
3,2021
4,2021
5,2020
6,2020
7,2020
8,2020
9,2020
10,2020
11,2020
12,2020
13,2020
14,2020
15,2020
16,2020
17,2020
18,2020
19,2020
20,2020
21,2020
22,2020
23,2020
24,2020
25,2020
26,2020
27,2020
28,2020
29,2020
30,2019
31,2019
32,2020
33,2020
34,2020
35,2019
36,2019
37,2020
38,2019
39,2019
40,2020
41,2019
42,2020
43,2019
44,2020
45,2019
46,2020
47,2020
48,2019
49,2019
50,2020
51,2020
52,2019
53,2019
54,2020
55,2020
56,2019
57,2019
58,2020
59,2019
60,2020
61,2019
62,2019
63,2019
64,2019
65,2019
66,2021
67,2021
68,2021
69,2021
70,2017
71,2018
72,2016
73,2017
74,2017
75,2017
76,2016
77,2016
78,2017
79,2018
80,2017
81,2018
82,2018
83,2018
84,2018
85,2017
86,2018
87,2017
88,2017
89,2017
90,2017
91,2017
92,2017
93,2017
94,2018
95,2017
96,2017
97,2016
98,2016
99,2018
100,2017
101,2017
102,2017
103,2019
104,2016
105,2017
106,2019
107,2016
108,2018
109,2017
110,2016
111,2020
112,2016
113,2016
114,2016
115,2016
116,2021
117,2016
118,2016
119,2016
120,2019
121,2016
122,2016
123,2018
124,2016
125,2016
126,2016
127,2019
128,2016
129,2019
130,2020
131,2017
132,2020
133,2017
134,2016
135,2016
136,2019
137,2016
138,2018
139,2016
140,2016
141,2020
142,2020
143,2016
144,2019
145,2020
146,2020
147,2016
148,2020
149,2020
150,2018
151,2016
152,2018
153,2021
154,2021
155,2017
156,2020
157,2020
158,2020
159,2018
160,2020
161,2017
162,2016
163,2021
164,2020
165,2020
166,2020
167,2020
168,2020
169,2020
170,2020
171,2017
172,2019
173,2019
174,2016
175,2020
176,2020
177,2020
178,2018
179,2020
180,2020
181,2017
182,2020
183,2020
184,2016
185,2021
186,2020
187,2020
188,2019
189,2020
190,2020
191,2019
192,2020
193,2020
194,2019
195,2020
196,2019
197,2017
198,2021
199,2020
200,2020
201,2020
202,2020
203,2018
204,2020
205,2019
206,2020
207,2017
208,2020
209,2019
210,2020
211,2017
212,2019
213,2018
214,2021
215,2019
216,2019
217,2019
218,2020
219,2021
220,2020
221,2019
222,2016
223,2017
224,2019
225,2019
226,2019
227,2019
228,2018
229,2018
230,2020
231,2017
232,2017
233,2019
234,2016
235,2020
236,2016
237,2018
238,2019
239,2018
240,2018
241,2019
242,2019
243,2016
244,2020
245,2017
246,2017
247,2018
248,2019
249,2020
250,2019
251,2020
252,2019
253,2018
254,2019
255,2017
256,2020
257,2017
258,2019
259,2019
260,2016
261,2016
262,2019
263,2019
264,2020
265,2017
266,2020
267,2019
268,2017
269,2019
270,2018
271,2020
272,2019
273,2019
274,2018
275,2018
276,2019
277,2019
278,2016
279,2019
280,2016
281,2019
282,2019
283,2018
284,2019
285,2019
286,2018
287,2019
288,2019
289,2017
290,2019
291,2018
292,2018
293,2019
294,2019
295,2018
296,2019
297,2018
298,2019
299,2020
300,2019
301,2019
302,2019
303,2019
304,2019
305,2017
306,2018
307,2018
308,2019
309,2019
310,2021
311,2018
312,2017
313,2018
314,2018
315,2018
316,2018
317,2021
318,2017
319,2018
320,2018
321,2021
322,2019
323,2017
324,2016
325,2017
326,2020
327,2020
328,2018
329,2018
330,2018
331,2018
332,2018
333,2021
334,2019
335,2018
336,2018
337,2019
338,2017
339,2021
340,2019
341,2019
342,2018
343,2021
344,2019
345,2017
346,2018
347,2018
348,2021
349,2016
350,2018
351,2018
352,2017
353,2018
354,2019
355,2016
356,2018
357,2017
358,2018
359,2016
360,2016
361,2017
362,2018
363,2019
364,2018
365,2016
366,2019
367,2017
368,2017
369,2018
370,2019
371,2019
372,2016
373,2017
374,2017
375,2017
376,2016
377,2017
378,2018
379,2019
380,2017
381,2019
382,2017
383,2021
384,2016
385,2017
386,2019
387,2017
388,2021
389,2017
390,2019
391,2017
392,2017
393,2017
394,2019
395,2017
396,2021
397,2018
398,2021
399,2019
400,2018
401,2019
402,2018
403,2016
404,2020
405,2017
406,2017
407,2018
408,2018
409,2016
410,2021
411,2016
412,2019
413,2020
414,2016
415,2016
416,2018
417,2017
418,2016
419,2017
420,2017
421,2017
422,2016
423,2016
424,2017
425,2019
426,2016
427,2017
428,2018
429,2017
430,2017
431,2019
432,2016
433,2016
434,2017
435,2019
436,2019
437,2019
438,2017
439,2017
440,2017
441,2016
442,2021
443,2020
444,2017
445,2017
446,2016
447,2016
448,2019
449,2016
450,2016
451,2017
452,2018
453,2019
454,2016
455,2020
456,2018
457,2016
458,2018
459,2017
460,2017
461,2017
462,2018
463,2016
464,2020
465,2016
466,2017
467,2018
468,2017
469,2019
470,2019
471,2017
472,2019
473,2018
474,2021
475,2018
476,2016
477,2017
478,2017
479,2018
480,2019
481,2020
482,2017
483,2021
484,2019
485,2016
486,2021
487,2016
488,2016
489,2017
490,2020
491,2017
492,2016
493,2016
494,2021
495,2019
496,2017
497,2017
498,2016
499,2019
500,2018
501,2017
502,2016
503,2017
504,2016
505,2018
506,2017
507,2019
508,2016
509,2017
510,2017
511,2017
512,2017
513,2018
514,2017
515,2018
516,2016
517,2019
518,2020
519,2020
520,2021
521,2018
522,2016
523,2016
524,2018
525,2016
526,2018
527,2017
528,2018
529,2018
530,2017
531,2017
532,2018
533,2018
534,2017
535,2018
536,2019
537,2017
538,2017
539,2018
540,2016
541,2016
542,2019
543,2019
544,2020
545,2019
546,2019
547,2019
548,2017
549,2018
550,2019
551,2016
552,2016
553,2018
554,2016
555,2016
556,2017
557,2019
558,2018
559,2016
560,2019
561,2016
562,2016
563,2019
564,2017
565,2016
566,2019
567,2019
568,2017
569,2020
570,2017
571,2019
572,2016
573,2018
574,2019
575,2018
576,2018
577,2019
578,2018
579,2019
580,2020
581,2019
582,2018
583,2016
584,2019
585,2016
586,2017
587,2020
588,2016
589,2017
590,2018
591,2020
592,2019
593,2020
594,2018
595,2020
596,2016
597,2017
598,2018
599,2017
600,2021
601,2017
602,2016
603,2020
604,2018
605,2018
606,2020
607,2018
608,2016
609,2016
610,2018
611,2020
612,2016
613,2018
614,2019
615,2019
616,2017
617,2020
618,2016
619,2020
620,2018
621,2016
622,2018
623,2021
624,2019
625,2019
626,2019
627,2020
628,2020
629,2018
630,2020
631,2020
632,2020
633,2018
634,2019
635,2018
636,2019
637,2018
638,2020
639,2017
640,2020
641,2019
642,2020
643,2017
644,2020
645,2020
646,2019
647,2017
648,2017
649,2017
650,2021
651,2018
652,2020
653,2017
654,2019
655,2020
656,2020
657,2020
658,2020
659,2016
660,2020
661,2020
662,2016
663,2020
664,2020
665,2020
666,2019
667,2017
668,2020
669,2017
670,2018
671,2020
672,2016
673,2018
674,2020
675,2018
676,2016
677,2020
678,2020
679,2020
680,2019
681,2020
682,2020
683,2019
684,2018
685,2020
686,2020
687,2020
688,2020
689,2020
690,2019
691,2020
692,2020
693,2018
694,2018
695,2020
696,2016
697,2019
698,2020
699,2019
700,2020
701,2020
702,2019
703,2020
704,2020
705,2018
706,2020
707,2018
708,2020
709,2017
710,2020
711,2019
712,2020
713,2017
714,2020
715,2019
716,2019
717,2020
718,2020
719,2017
720,2018
721,2019
722,2019
723,2018
724,2020
725,2020
726,2019
727,2019
728,2020
729,2020
730,2020
731,2018
732,2018
733,2020
734,2018
735,2017
736,2019
737,2019
738,2019
739,2018
740,2016
741,2019
742,2019
743,2019
744,2019
745,2018
746,2019
747,2017
748,2019
749,2017
750,2019
751,2019
752,2019
753,2017
754,2017
755,2019
756,2018
757,2017
758,2019
759,2017
760,2020
761,2019
762,2019
763,2018
764,2016
765,2018
766,2019
767,2020
768,2020
769,2019
770,2019
771,2020
772,2020
773,2019
774,2018
775,2019
776,2019
777,2017
778,2017
779,2019
780,2020
781,2019
782,2019
783,2020
784,2017
785,2017
786,2019
787,2020
788,2019
789,2019
790,2017
791,2017
792,2019
793,2017
794,2019
795,2019
796,2016
797,2017
798,2019
799,2020
800,2019
801,2021
802,2017
803,2019
804,2020
805,2019
806,2020
807,2020
808,2019
809,2020
810,2019
811,2016
812,2019
813,2019
814,2019
815,2019
816,2019
817,2019
818,2020
819,2019
820,2018
821,2020
822,2020
823,2019
824,2019
825,2017
826,2016
827,2019
828,2018
829,2017
830,2020
831,2018
832,2017
833,2019
834,2019
835,2018
836,2017
837,2019
838,2020
839,2018
840,2018
841,2019
842,2019
843,2018
844,2020
845,2017
846,2017
847,2016
848,2017
849,2020
850,2018
851,2018
852,2017
853,2019
854,2019
855,2019
856,2018
857,2018
858,2016
859,2018
860,2016
861,2020
862,2018
863,2017
864,2018
865,2016
866,2018
867,2016
868,2021
869,2019
870,2018
871,2016
872,2017
873,2017
874,2020
875,2018
876,2020
877,2019
878,2018
879,2020
880,2017
881,2017
882,2019
883,2020
884,2019
885,2020
886,2020
887,2020
888,2020
889,2020
890,2017
891,2020
892,2019
893,2016
894,2019
895,2020
896,2017
897,2016
898,2020
899,2020
900,2017
901,2020
902,2020
903,2016
904,2021
905,2020
906,2018
907,2019
908,2016
909,2020
910,2018
911,2018
912,2017
913,2017
914,2019
915,2019
916,2020
917,2017
918,2017
919,2020
920,2018
921,2019
922,2020
923,2019
924,2020
925,2017
926,2019
927,2020
928,2017
929,2020
930,2019
931,2017
932,2020
933,2017
934,2016
935,2019
936,2020
937,2020
938,2020
939,2016
940,2018
941,2019
942,2019
943,2021
944,2020
945,2018
946,2016
947,2020
948,2016
949,2020
950,2019
951,2016
952,2017
953,2020
954,2017
955,2020
956,2020
957,2020
958,2019
959,2020
960,2020
961,2020
962,2019
963,2020
964,2020
965,2016
966,2016
967,2017
968,2018
