,date
0,2021
1,2021
2,2020
3,2020
4,2020
5,2021
6,2021
7,2019
8,2020
9,2020
10,2020
11,2020
12,2020
13,2020
14,2020
15,2020
16,2020
17,2020
18,2020
19,2020
20,2020
21,2020
22,2020
23,2020
24,2019
25,2020
26,2020
27,2019
28,2020
29,2020
30,2020
31,2019
32,2020
33,2019
34,2020
35,2020
36,2020
37,2019
38,2020
39,2019
40,2020
41,2020
42,2020
43,2019
44,2020
45,2020
46,2020
47,2019
48,2020
49,2019
50,2019
51,2020
52,2019
53,2020
54,2020
55,2019
56,2020
57,2020
58,2019
59,2021
60,2020
61,2019
62,2020
63,2019
64,2019
65,2020
66,2019
67,2019
68,2020
69,2019
70,2019
71,2020
72,2020
73,2019
74,2020
75,2019
76,2019
77,2020
78,2019
79,2019
80,2019
81,2019
82,2017
83,2018
84,2018
85,2018
86,2017
87,2018
88,2018
89,2017
90,2018
91,2018
92,2018
93,2016
94,2017
95,2018
96,2018
97,2017
98,2018
99,2018
100,2017
101,2016
102,2019
103,2019
104,2019
105,2017
106,2019
107,2018
108,2020
109,2019
110,2019
111,2019
112,2019
113,2019
114,2019
115,2018
116,2019
117,2019
118,2016
119,2018
120,2019
121,2019
122,2019
123,2019
124,2019
125,2019
126,2019
127,2017
128,2019
129,2019
130,2018
131,2019
132,2017
133,2019
134,2016
135,2019
136,2018
137,2018
138,2019
139,2019
140,2018
141,2019
142,2016
143,2018
144,2016
145,2018
146,2019
147,2018
148,2018
149,2019
150,2019
151,2018
152,2018
153,2018
154,2018
155,2018
156,2018
157,2018
158,2018
159,2019
160,2020
161,2018
162,2018
163,2018
164,2018
165,2018
166,2018
167,2018
168,2017
169,2018
170,2018
171,2019
172,2018
173,2018
174,2018
175,2017
176,2017
177,2018
178,2019
179,2017
180,2018
181,2018
182,2018
183,2018
184,2018
185,2018
186,2018
187,2018
188,2018
189,2018
190,2018
191,2017
192,2018
193,2017
194,2018
195,2019
196,2017
197,2017
198,2019
199,2018
200,2017
201,2018
202,2018
203,2018
204,2018
205,2018
206,2018
207,2017
208,2018
209,2018
210,2017
211,2018
212,2016
213,2017
214,2018
215,2017
216,2018
217,2018
218,2019
219,2017
220,2018
221,2018
222,2018
223,2018
224,2018
225,2018
226,2017
227,2018
228,2018
229,2018
230,2017
231,2018
232,2017
233,2018
234,2020
235,2018
236,2018
237,2018
238,2017
239,2017
240,2017
241,2018
242,2017
243,2016
244,2018
245,2017
246,2018
247,2018
248,2017
249,2018
250,2018
251,2017
252,2016
253,2016
254,2018
255,2017
256,2017
257,2018
258,2018
259,2016
260,2017
261,2017
262,2020
263,2017
264,2021
265,2018
266,2017
267,2017
268,2017
269,2020
270,2017
271,2021
272,2017
273,2017
274,2017
275,2018
276,2016
277,2017
278,2017
279,2018
280,2019
281,2017
282,2016
283,2018
284,2017
285,2018
286,2018
287,2018
288,2018
289,2017
290,2018
291,2016
292,2017
293,2017
294,2016
295,2017
296,2018
297,2018
298,2016
299,2017
300,2016
301,2021
302,2019
303,2016
304,2016
305,2016
306,2017
307,2017
308,2016
309,2016
310,2016
311,2017
312,2016
313,2017
314,2017
315,2018
316,2017
317,2017
318,2016
319,2017
320,2016
321,2016
322,2017
323,2016
324,2018
325,2017
326,2018
327,2016
328,2018
329,2020
330,2017
331,2017
332,2016
333,2017
334,2016
335,2016
336,2017
337,2017
338,2017
339,2017
340,2016
341,2017
342,2016
343,2017
344,2016
345,2019
346,2016
347,2017
348,2019
349,2017
350,2017
351,2017
352,2016
353,2018
354,2018
355,2018
356,2017
357,2018
358,2016
359,2017
360,2017
361,2016
362,2016
363,2016
364,2016
365,2017
366,2017
367,2017
368,2016
369,2017
370,2017
371,2017
372,2017
373,2016
374,2017
375,2018
376,2016
377,2016
378,2021
379,2017
380,2017
381,2016
382,2017
383,2016
384,2016
385,2016
386,2016
387,2016
388,2016
389,2017
390,2017
391,2017
392,2016
393,2018
394,2016
395,2016
396,2016
397,2016
398,2016
399,2016
400,2016
401,2018
402,2016
403,2017
404,2016
405,2016
406,2016
407,2016
408,2016
409,2016
410,2016
411,2016
412,2019
413,2017
414,2016
415,2017
416,2017
417,2017
418,2016
419,2016
420,2016
421,2017
422,2016
423,2016
424,2016
425,2016
426,2017
427,2016
428,2016
429,2018
430,2017
431,2016
432,2016
433,2017
434,2016
435,2017
436,2016
437,2016
438,2016
439,2016
440,2017
441,2017
442,2018
443,2017
444,2016
445,2016
446,2017
447,2016
448,2016
449,2017
450,2016
451,2017
452,2017
453,2016
454,2016
455,2016
456,2017
457,2020
458,2016
459,2017
460,2016
461,2016
462,2016
463,2017
464,2020
465,2016
466,2016
467,2016
468,2019
469,2016
470,2017
471,2017
472,2016
473,2016
474,2016
475,2016
476,2016
477,2016
478,2016
479,2016
480,2016
481,2016
482,2016
483,2016
484,2017
485,2018
486,2017
487,2017
488,2016
489,2017
490,2016
491,2017
492,2016
493,2016
494,2016
495,2018
496,2016
497,2016
498,2019
499,2016
500,2016
501,2016
502,2017
503,2019
504,2017
505,2020
506,2016
507,2016
508,2016
509,2017
510,2017
511,2017
512,2016
513,2017
514,2019
515,2020
516,2016
517,2016
518,2016
519,2017
520,2017
521,2017
522,2016
523,2017
524,2017
525,2017
526,2017
527,2016
528,2016
529,2017
530,2016
531,2016
532,2016
533,2017
534,2020
535,2016
536,2016
537,2016
538,2017
539,2016
540,2016
541,2016
542,2020
543,2016
544,2016
545,2017
546,2016
547,2016
548,2016
549,2016
550,2016
551,2016
552,2016
553,2016
554,2020
555,2020
556,2016
557,2016
558,2019
559,2016
560,2016
561,2020
562,2019
563,2016
