,평점,본문
0,5,항상 쓰는 썬크림이에요 이제 곧 여름이 될텐데 더 듬뿍듬뿍 써야겠어용 튜브령이라 그런지 써도써도 공기 빵빵하게 흔들면 계속 나오고 유통기한도 길어서 잘 쓸 수 있어요 백탁도 적당항상 쓰는 썬크림이에요 이제 곧 여름이 될텐데 더 듬뿍듬뿍 써야겠어용 튜브령이라 그런지 써도써도 공기 빵빵하게 흔들면 계속 나오고 유통기한도 길어서 잘 쓸 수 있어요 백탁도 적당하고 너무 건조하지도 유분기 있지도 않고 딱이에요 다 쓰면 또 살거에요 그린핑거 야외놀이 썬크림 짱짱
1,5,가격도 저렴하고 배송비때문에 항상 3개씩은 사는데 유통기한 넉넉해서 좋아요! 이 선크림 20대 중반인 제 최애입니다 적당히 하얘지고 자외선 차단 효과도 좋은거같아요 기름지지 가격도 저렴하고 배송비때문에 항상 3개씩은 사는데 유통기한 넉넉해서 좋아요! 이 선크림 20대 중반인 제 최애입니다 적당히 하얘지고 자외선 차단 효과도 좋은거같아요 기름지지 않고 부드럽게 발리고ㅠㅠ 걍 최고에요ㅠㅠ 절대 단종 안됐음 좋겠어요 단종절대반대ㅠ 다들 많이 사세요
2,5,매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요매우 만족합니다많이 파세요
3,4,만족배송은 월요일날 시켜서 화요일날 받았어요 선크림에 비해 큰 박스 안에 덩그러니 있었어요 깨지거나 그런 상품은 아니니 신경은 안써요 오자마자 손등에 발라봤는데 성분에 향료가 있어서 그런지 향은 좋은데 너무 강한듯싶어요 발림성은 좋은거같고 촉촉하게 발려요 유분이 있긴 있는데 금방 피부에 흡수되며 사그라들어요 아직 바르고 밖에 나가진 않아서 자외선차단능력은 아직 모르겠어요 그린핑거 선크림 처음 구매해보는데 나쁘지 않네요 만족해요
4,5,늘 사용하는 제품이에요 사은품은 안 왔네요순하고 살짝 색보정 효과도 있어서 저도 아이들과 함께 쓰는 제품이에요 다른 썬크림들 많이 써 봤지만 이 제품이 가장 맘에 들어요마침 11 행사도 해서 저렴하게 구입했어요그런데 사은품으로 준다던 비치볼은 실수로 누락된 건지 다 품절된 건지 아쉽게도 못 받았네요 
5,4,오래 쓰고 있는 선크림이에요 백탁이 좀 있는 편이라고 생각했는데 다른 거 쓰던 친구는 이정도는 백탁 심한거 아니라고 하더라구요 향이나 백탁 때문에 한 번 써보고 사는 게 좋을 오래 쓰고 있는 선크림이에요 백탁이 좀 있는 편이라고 생각했는데 다른 거 쓰던 친구는 이정도는 백탁 심한거 아니라고 하더라구요 향이나 백탁 때문에 한 번 써보고 사는 게 좋을 것 같아요 저는 만족해서 계속 쓰고 있습니다
6,5,성인이지만 선크림에 대해서는 조금 예민하고 백탁현상도 싫어서 로드샵이나 백화점 선크림은 잘 안씁니다 우연히 동생 선크림 뺏어 바르고나서 정착했고 요번에 다떨어져서 요기서 구매했성인이지만 선크림에 대해서는 조금 예민하고 백탁현상도 싫어서 로드샵이나 백화점 선크림은 잘 안씁니다 우연히 동생 선크림 뺏어 바르고나서 정착했고 요번에 다떨어져서 요기서 구매했는데 정말 순하고 좋아요 ㅠㅠ 담번에도 여기서 구매할게요 !!
7,5,뜨거운 햇볕에도 피부를 잘 보호해줘요 평소에는 썬크림 잘 안발라요 여름에 뜨거운 햇볕에 3박 4일 여행가서 발랐는데 하나도 안탔어요 끈적임이나 자극없이 아이 어른 모두 사용하뜨거운 햇볕에도 피부를 잘 보호해줘요 평소에는 썬크림 잘 안발라요 여름에 뜨거운 햇볕에 3박 4일 여행가서 발랐는데 하나도 안탔어요 끈적임이나 자극없이 아이 어른 모두 사용하기 괜찮아요 다만 씻을 때는 꼼꼼하게 잘 씻어내야 되요
8,5,조아요 애들도  그렇고   저도  그렇고   피부가  예민해서   왠만하면  해가   있는곳에서 오래  잘  놀지도 않고  그런상황이   오면   썬크림을   꼭   발라야하조아요 애들도  그렇고   저도  그렇고   피부가  예민해서   왠만하면  해가   있는곳에서 오래  잘  놀지도 않고  그런상황이   오면   썬크림을   꼭   발라야하는데   그마저도  피부가  여의치않아  아무거나  바르면   피부트러블이   생겨   아무거나  바르지못해요   그런데  요건  장시간  이몽해도  특별히  문제가 없어서   온 식구가  사용을합니다
9,3,어이없는 견본품 본품 사용기한은 1년이상남은 제품으로 왔는데사은품으로 보내준 견본품은 사용기한이 2008년8월이네요 무려 10년전에 폐기했어야할 제품을너무어이가 없어서 프리미어이없는 견본품 본품 사용기한은 1년이상남은 제품으로 왔는데사은품으로 보내준 견본품은 사용기한이 2008년8월이네요 무려 10년전에 폐기했어야할 제품을너무어이가 없어서 프리미엄까지 남기고갑니다본품에 이상이 없는관계로 일단 구매확정합니다사은품보내실땐 최소한 사용기한 정도는 확인하고 보내시기바랍니다2개의 포토리뷰2개의 포토리뷰
