,평점,본문
0,5,처음 몽디에스 제품 쓴게 파우더로션이에요 신랑이 땀이 많은 편이라 여름 마다 땀띠가 나서 이것 저것 검색하다가 써봤는데 정말 거짓말 안보태고 한 번 바르고는 엄청 가라앉았더라구요 처음 몽디에스 제품 쓴게 파우더로션이에요 신랑이 땀이 많은 편이라 여름 마다 땀띠가 나서 이것 저것 검색하다가 써봤는데 정말 거짓말 안보태고 한 번 바르고는 엄청 가라앉았더라구요 그 뒤로 떨어지게 무섭게 쟁여놓는 제품 중 하나고 아가 출산준비크림 클렌징 썬크림 등도 몽디에스꺼만 썼어요 그만큼 너무 좋아서  이번에도 파우더 로션 다 써가서 구입하려고 들어왔다가 썬팩트 있는거 보고 바로 같이 구입했어요! 기대반 설렘반으로 써보니 역시 ㅜㅜ 썬팩트도 딱 제가 찾던 백탁현상도 없고 눈따가움 없이 순하고 아가도 너무 좋아해요 심지어 촉촉하고 바를때 시원하더라구요  정말 몽디에스는 감동사랑이에요!! 좋은제품 감사합니다 4개의 포토리뷰4개의 포토리뷰4개의 포토리뷰4개의 포토리뷰
1,5,역시 몽디에스 ㅎ기분탓인건지 살짝 피부톤이 밝아지는것같아요타제품으로 썬크림사용했는데애기가 자꾸 눈을 비비기도 하고 아침에 발라줄때마다 울고불고해서 팩트로 찾아보다 겟!!일단 애역시 몽디에스 ㅎ기분탓인건지 살짝 피부톤이 밝아지는것같아요타제품으로 썬크림사용했는데애기가 자꾸 눈을 비비기도 하고 아침에 발라줄때마다 울고불고해서 팩트로 찾아보다 겟!!일단 애기가 너무 좋아해요단점이 있다면 시도때도없이 톡톡줘하고떼를 쓴다는것 ㅠㅡㅠ11할때 잘 구매해서 하나는 원에 킵해두고 하나는 집에서 사용하고있어요저녁에 씻을때도 깨끗하게 씻기는것같아요 ㅎ3개의 포토리뷰3개의 포토리뷰3개의 포토리뷰
2,4,5세 아이인데 좋아해요 매번 엄마꺼 들고 제 얼굴에 해줬었는데 자기 얼굴에 해도 되는게 생겨서 그런지 사줘서 고맙고 너무 행복하다고  ㅎㅎ그런데 케이스에 캐릭터 들어가 있으5세 아이인데 좋아해요 매번 엄마꺼 들고 제 얼굴에 해줬었는데 자기 얼굴에 해도 되는게 생겨서 그런지 사줘서 고맙고 너무 행복하다고  ㅎㅎ그런데 케이스에 캐릭터 들어가 있으면 좋겠다 싶은 아쉬움이 남아요 힛결국 제 스티커를 붙여 줬는데 이게 아쉬워 별 하나 빼요!3개의 포토리뷰3개의 포토리뷰3개의 포토리뷰
3,5,아이가 둘이라 각자 한개씩 이름붙여주니 더 애착을 가지고 좋아하네요엄마 화장하는 것 같다며 스스로 바르겠다고도 하고요아무래도 팩트형이라 얼굴 외에 다른데 바르는건 좀 불편해요아이가 둘이라 각자 한개씩 이름붙여주니 더 애착을 가지고 좋아하네요엄마 화장하는 것 같다며 스스로 바르겠다고도 하고요아무래도 팩트형이라 얼굴 외에 다른데 바르는건 좀 불편해요바디용은 따로 장만 해야겠어요무기자차라 클렌징 따로 안해도 된다고 하니 일상용으로 너무 좋네요저는 물론 깨끗이 닦아주고 싶어서 클렌징 워터고 샀지만요 ㅎㅎ올 여름 몽디에스와 잘 보내 보겠습니다!2개의 포토리뷰2개의 포토리뷰
4,5,이번여름이 햇빛이 쨍한 날이 많지않아서ㅜ 많이는 사용 못했어요ㅜ 11할때 구매했는데 지금 사진보는거처럼 중간은 다 쓴거같아요ㅎ바르기편하고 가벼워서 외출시 무조건 들고가요ㅎㅎㅎ아이이번여름이 햇빛이 쨍한 날이 많지않아서ㅜ 많이는 사용 못했어요ㅜ 11할때 구매했는데 지금 사진보는거처럼 중간은 다 쓴거같아요ㅎ바르기편하고 가벼워서 외출시 무조건 들고가요ㅎㅎㅎ아이 스스로 바르기도 편하구요ㅎ많이 찍어서 바르면 물로 씻을때 잘 안씻기는거같아요 저는 몽디에스바디워시로 살살 문질러서 씻어요32개의 포토리뷰2개의 포토리뷰
5,4,배송은 빠르게 해주셨는데 유효기간 지난게 와서다시 교환하느라 몇일 걸렸네요 그래도 빠른처리해주셔서 감사합니다백탁없이 촉촉하게 발라지는데 피부에 그대로 스며그는거 같아서 발랏는지 안배송은 빠르게 해주셨는데 유효기간 지난게 와서다시 교환하느라 몇일 걸렸네요 그래도 빠른처리해주셔서 감사합니다백탁없이 촉촉하게 발라지는데 피부에 그대로 스며그는거 같아서 발랏는지 안발랏지 모를정도로 얇게 발라져요 쿠션이라 편하네요
6,5,조아용 다른제품쓰다 갈아탔는데 이것도 좋네요 얼집서 실외활동이 있어서 급하게 샀는데 나중에 시킨 수딩젤 파우더로션과 같은날 배송왔어요  염려는 안해도된다하셨지만 아기물건이 이 더위조아용 다른제품쓰다 갈아탔는데 이것도 좋네요 얼집서 실외활동이 있어서 급하게 샀는데 나중에 시킨 수딩젤 파우더로션과 같은날 배송왔어요  염려는 안해도된다하셨지만 아기물건이 이 더위속에 돌고돌았단 생각에몇일 썬쿠션없이 실외활동한 생각에조금 화도 났었지만 제품사용해보니 풀리네요클렌지워터와 세뚜로 사용중입니다
7,4,썬스틱쿠션클린징 함께 구매했어요썬스틱 먼저 사용해봤는데피부예민한 첫째는 선크림 바르면 나는 두드러기가 이제품도 역시 올라오네요ㅠ제품자체는 냄새도 좋고 발림성도 좋아요클렌징 썬스틱쿠션클린징 함께 구매했어요썬스틱 먼저 사용해봤는데피부예민한 첫째는 선크림 바르면 나는 두드러기가 이제품도 역시 올라오네요ㅠ제품자체는 냄새도 좋고 발림성도 좋아요클렌징 워터는 잘씻기는건 아니고저자극이라 생각하고 쓸게용
8,4,빠른배송 덕분에 뜨거운 날씨에 아이랑 얼굴에 톡톡 두드리고 나갔어요작년에 쓰던 제품이랑펌핑형 방식이 달라서 설명이 필요할줄 알았더니 엄마가 화장하던거 유심히 본 덕분에 연습없이빠른배송 덕분에 뜨거운 날씨에 아이랑 얼굴에 톡톡 두드리고 나갔어요작년에 쓰던 제품이랑펌핑형 방식이 달라서 설명이 필요할줄 알았더니 엄마가 화장하던거 유심히 본 덕분에 연습없이도 사용할수있네요사용감은 조금 끈적이는 면이 있어요아이는 이래도 좋고 저래도 좋지만저한테는 조금 끈적이네요백탁은 거의없고 지울때도 꼼꼼한 세안이 필요하네요
9,5,민감성피부예요 주사도 있고 건조하기도 하고 선크림 안쓰고 맨얼굴이어야 좋지만 햇살받아도 피부가 울긋불긋 난리나서 찾다가 구매했는데 성분도 좋고 민감한 제 피부에 잘 맞아서 다행이민감성피부예요 주사도 있고 건조하기도 하고 선크림 안쓰고 맨얼굴이어야 좋지만 햇살받아도 피부가 울긋불긋 난리나서 찾다가 구매했는데 성분도 좋고 민감한 제 피부에 잘 맞아서 다행이예요 선크림을 바르면 건조한건 어쩔수 없는데 그나마 건조한 정도가 다른 제품 발랐을때보다 심하진 않은거 같아요 바르면 톤보정도 되서 입술만 바르면 화장한것 같고 좋아요 재구매합니다
