,평점,본문
0,5,여름이면 항상 아이 위해 준비해요남아 인데 얼굴에 로션바르면 가만있질 않는데이걸로 두들겨 주면 잼있어하고 가만있어요 혼자 스스로 바르면서 놀기도하는데 그러면 금방 없어 지네요ㅋㅋㅋ여름이면 항상 아이 위해 준비해요남아 인데 얼굴에 로션바르면 가만있질 않는데이걸로 두들겨 주면 잼있어하고 가만있어요 혼자 스스로 바르면서 놀기도하는데 그러면 금방 없어 지네요ㅋㅋㅋ사이즈는 보통 팩트 크기입니다용량은 이렇게 한통사면 아가얼굴만바르고 딱 여름한철쓰면 끝나는 용량이네요배송은7일걸렸는데 출고는 빨랐는데배달이 늦었네요  자외선 강해지기 전에 미리 준비한거라 늦게와도 갠차났어요저렴한가격에잘샀어요퍼프가 하나더 들어서 좋네요많이 파시고 번창하세요
1,5,배송 오자마자 딸 아이가 바로 배송 오자마자 딸 아이가 바로 사용하였는데 10분 안되서 사용한 얼굴 전체 붉게 올라왔어요 ㅠㅠ그래서 바로 세수하고 그 다음부터 사용을 안하고 있어요이런적이 처음이라서 완전 당황스럽습니다가능하면 테스트후 구매 하시기 바랍니다
2,5,6살 아이가 사용하려고 구입했습니다먼저 디자인6살 아이가 사용하려고 구입했습니다먼저 디자인으로 노랑색이 예뻐서 마음에 들어합니다언니가 있어서 쿠션을 가지고 싶어했는데저도 아토팜 제품이라 믿고 사주었답니다언니따라 클렌징까지 열심히 하며 좋아하는 모습을 보니잘 구입한 것 같습니다
3,5,여름도다가오고바깥놀이도 많이 나가게되서유아용 썬팩트여름도다가오고바깥놀이도 많이 나가게되서유아용 썬팩트가 필요했는데유아용은 아토팜처럼 믿음이가는제품이없는것 같아요콩순이부터 현재 타요까지아이들이 좋아할만한 캐릭터로깜찍하고 좋아요발림도 좋고 금방 흡수되고 반짝반짝 광이나는것 같아서 더 예뻐보여요
4,5,착한 성분이라 믿을 수 있고 순하고 백탁현상도 없어 주착한 성분이라 믿을 수 있고 순하고 백탁현상도 없어 주황 콩순이 리필해서 계속 쓰다 오쇼핑에서 좋은 가격으로 재구매 합니다근데 퍼프가 선크림을 다 먹어 들어갔는 지 세척시 속에 엄청난 양의 크림이 계속 나와 깜짝 놀랐어요얼굴에도 잘 도포되는 거 맞는 거죠?
5,5,날씨가 좋아지면서 밖에서 보내는 시간이 많아질 딸을 위날씨가 좋아지면서 밖에서 보내는 시간이 많아질 딸을 위해서 구입했어요 오자마자 콩순이 화장품 이라면서 톡톡! 발라보고 좋아하네요 냄새는 다른 제품들 처럼 좋은 향기가 나거나 하지는 않고 약간 아토팜 로션 냄새? 비슷하게 나요! 하얗게 발리거나 하지 않아서 좋고 번들거리지도 않아요
6,5,애들 쓰라고 샀어요 사은품을 엄청 많이 주셔서 고맙습니다애들 쓰라고 샀어요 사은품을 엄청 많이 주셔서 고맙습니다2개의 포토리뷰2개의 포토리뷰
7,4,썬팩트는 첨시켜봐요 일단 케이스가 넘귀엽네요 6살딸아이가 무척기다리고있어요 자기꺼라구 오묜 만지지말라구 ㅋㅋㅋ썬팩트는 첨시켜봐요 일단 케이스가 넘귀엽네요 6살딸아이가 무척기다리고있어요 자기꺼라구 오묜 만지지말라구 ㅋㅋㅋ
8,5,저렴하게 잘 샀습니다 저렴하게 잘 샀습니다 
9,5,완전 좋아요!! 순해서 샀어요케이스도 귀여워요 ㅎㅎ완전 좋아요!! 순해서 샀어요케이스도 귀여워요 ㅎㅎ
10,5,애기 발라주기 편할듯해서 샀어요애기 발라주기 편할듯해서 샀어요
11,4,아이가 자외선차단제가 필요해서 주문해요 아직 안써봤지만 아토팜이라 믿고 써볼께요아이가 자외선차단제가 필요해서 주문해요 아직 안써봤지만 아토팜이라 믿고 써볼께요
12,5,배송빠르고 사은품도 잘쓸게요배송빠르고 사은품도 잘쓸게요
13,5,잘받았습니다 감사합니다잘받았습니다 감사합니다
14,5,발림이좋아서 잘쓰게돼요발림이좋아서 잘쓰게돼요
15,4,잘 받앗습니다 아이들이 수시로 찍어 바르는걸 좋아해서 구매햇어요 아이도 좋아하네요 근데 선팩트로 구매를 햇는데 선쿠션이네요 ㅜ 아토팜에서 네임을 그렇게 정해서 판매하네요 잘 받앗습니다 아이들이 수시로 찍어 바르는걸 좋아해서 구매햇어요 아이도 좋아하네요 근데 선팩트로 구매를 햇는데 선쿠션이네요 ㅜ 아토팜에서 네임을 그렇게 정해서 판매하네요 구매하시는 분들 참고하세요2개의 포토리뷰2개의 포토리뷰
16,5,맘에들어요 좋아요!맘에들어요 좋아요!
17,5,6세 남자 아인데 화장하듯 놀이처럼 바를수 있어 아이 스스로 하여 만족함6세 남자 아인데 화장하듯 놀이처럼 바를수 있어 아이 스스로 하여 만족함
18,5,아이들이 좋아해요톡톡 찍어바르는게 재미있나봐요아이들이 좋아해요톡톡 찍어바르는게 재미있나봐요
19,5,아이가좋아해요 아토팜꺼라 순할거라믿고 샀어요아이가좋아해요 아토팜꺼라 순할거라믿고 샀어요
20,4,아직효과는모르겠지만 애들이넘넘좋아해요아직효과는모르겠지만 애들이넘넘좋아해요2개의 포토리뷰2개의 포토리뷰
21,5,코로나때문에 별로나가질못해 사용못했지만집에서 갖고놀며 잼나했었어요많이파세요코로나때문에 별로나가질못해 사용못했지만집에서 갖고놀며 잼나했었어요많이파세요
22,3,좋은데  클렌징이 좀 아쉽네요 아이들이라 비누로만 씻는데 잘 안씻겨지고 남는 느낌이 들어요좋은데  클렌징이 좀 아쉽네요 아이들이라 비누로만 씻는데 잘 안씻겨지고 남는 느낌이 들어요
23,5,배송이 빨라요 가격도 만족합니다배송이 빨라요 가격도 만족합니다
24,5,화장하는 기분들어서 그런지 애기들이 혼자서도 잘 해요잘쓸게요!화장하는 기분들어서 그런지 애기들이 혼자서도 잘 해요잘쓸게요!
25,5,좋으네요 쓰기도편하고 아이들휴가가서 놀리다 해변에서 모래묻은손으로 다시안마지고 톡톡 발라줄수있어더좋았어요좋으네요 쓰기도편하고 아이들휴가가서 놀리다 해변에서 모래묻은손으로 다시안마지고 톡톡 발라줄수있어더좋았어요
26,5,유통기한도 길고 좋네요아이가 캐릭터가 마음에 드는지 정말 좋아해요만족합니다유통기한도 길고 좋네요아이가 캐릭터가 마음에 드는지 정말 좋아해요만족합니다
27,5,딸이 좋아해요 선크림 뭉치지 않딸이 좋아해요 선크림 뭉치지 않고 편하고 쉽게 바를 수 있어 더 좋아요
28,4,골고루 바르기 힘든거 같아요아이는 화장하는 기분으로 바를떼마다 좋아해때마다 좋아해요골고루 바르기 힘든거 같아요아이는 화장하는 기분으로 바를떼마다 좋아해때마다 좋아해요
29,4,초등딸에게 주려고 구입했어요성분좋아서 안심이네요초등딸에게 주려고 구입했어요성분좋아서 안심이네요
30,5,좋아요 아이들 잘 발라주고 있어요!좋아요 아이들 잘 발라주고 있어요!
31,5,귀여워요딸이 너무 좋아해요귀여워요딸이 너무 좋아해요
32,5,우리 애기 필수템입니다우리 애기 필수템입니다
33,5,사용하기 편합니 다사용하기 편합니 다
34,5,딸이너무 조아해요 다음에 또 이용할게요딸이너무 조아해요 다음에 또 이용할게요
35,5,고민하다 샀는데 완전만족합니다고민하다 샀는데 완전만족합니다
