,평점,본문
0,5,배송도 나름 빨라서 만족했습니다 저는 선크림을 바르고나면 항상 좁쌀이 올라와서 1년? 전부터 선크림을 안 발랐습니다 그러나 이 선크림에는 모공을 막는 시어버터 스테아릭애씨드 배송도 나름 빨라서 만족했습니다 저는 선크림을 바르고나면 항상 좁쌀이 올라와서 1년? 전부터 선크림을 안 발랐습니다 그러나 이 선크림에는 모공을 막는 시어버터 스테아릭애씨드 성분이 없어서 구매했습니다 또한 화x 앱에서 베이비임산부 선크림 1위라서 안심하고 구매한 것도 있습니다 기대한 만큼 이 제품이 좋았으면 좋겠네요
1,5,전 이거 리뉴얼되기 전부터 엄청 오래 쓰던 사람입니다 막 달걀귀신처럼 엄청 하얘지는게 아니라 자연스럽게 얼굴 하얘집니다 기름도 아주 조금만 있어서 좋습니다 맘앤키즈라 순한 성전 이거 리뉴얼되기 전부터 엄청 오래 쓰던 사람입니다 막 달걀귀신처럼 엄청 하얘지는게 아니라 자연스럽게 얼굴 하얘집니다 기름도 아주 조금만 있어서 좋습니다 맘앤키즈라 순한 성분이 들어있는 것 같아 안심하고 쓸 수 있는것 같아용 매일 발라요! 그 담 파데바르공ㅎㅎ2개의 포토리뷰2개의 포토리뷰
2,5,적극추천합니다 여기저기 비교해바도 가격도 착하고 용량도 적당하고 휴대용으로 써도 좋을만큼 한손에 쏙 들어오는 사이즈라 좋네요 아이가 혼자서도 잘 바르고 향이 강하지 않고 은은한 풀잎향이여서 건강한 느낌이 드네요 유분기도 많지 않고 유통기한도 넉넉하고 적극추천합니다
3,5,너무 좋은것 같아요선크림 마침 필요했는데 이번에 3개 구입해서 쟁여두고 써야겠어요ㅎㅎ제가 피부가 엄청 잘타고 오래 햇빛 아래 있으면 엄청 빨간색으로 피부가 변해서 자외선 차단제 순한거 찾는데 이게 리뷰가 좋더라구요ㅎㅎ그래서 싼 가격에 리뷰가 좋은거 찾다가 여기서 이걸 찾았어요ㅎㅎ제품 완전 추천해요!2개의 포토리뷰2개의 포토리뷰
4,5,어린이집에 하나어린이집에 하나 보내고 하나는 집에서 쓸려고 샀어요 외부 활동이나 산책 나갈 때 바른다고 하네요아직 집에꺼는 쓰던게 있어서 안써봤는데 어린이집 갖고 간거는 아이가 잘쓰고 있다고 해요 예쁜 스티커 하나 붙여서 보내줬더니 더 좋아라합니다 ㅎㅎ
5,4,피부과에서 여러가지 순한 제품들로 추천받았어요그 중 이 제품도 있었는데 저렴하기도 하고 아기까지 함께 쓴다니 추천 제품 중 가장 순하겠지? 기대하고 주문했어요일주일 조금 넘게피부과에서 여러가지 순한 제품들로 추천받았어요그 중 이 제품도 있었는데 저렴하기도 하고 아기까지 함께 쓴다니 추천 제품 중 가장 순하겠지? 기대하고 주문했어요일주일 조금 넘게 쓰고 있는데 전혀 자극 1도 없고요오히려 저는 살짝?? 바를때 백탁있는게 좋앙요 그래야 톤 보정되는것 같아서요심하지 않아요 바르면서 스며들어서 백탁 없는 쪽에 가까워요 무튼 잘 쓹요
6,5,리뉴얼 전부터 계속 쓰고 있어요 심한 지성인데 텁텁하지 않으면서도 촉촉하구요 아이들도 쓰도록 나온 거라 그런지 순하기도 합니다 살짝 백탁이 있긴 하지만 피부 화장을 안 하는리뉴얼 전부터 계속 쓰고 있어요 심한 지성인데 텁텁하지 않으면서도 촉촉하구요 아이들도 쓰도록 나온 거라 그런지 순하기도 합니다 살짝 백탁이 있긴 하지만 피부 화장을 안 하는 편이라 저는 오히려 조금 있는 게 좋네요ㅎ 바른 직후에는 백탁이 많이 눈에 띄지만 몇 분 지나면 그냥 뽀샤시하게 됩니다
7,5,화장이 잘 먹어요번들거리지 않고 화장이 자연스럽게 잘 먹어요
8,5,순하고 부드러워서 데일리용으로써요순하고 부드러워서 데일리용으로써요
9,5,얼굴이 자연스럽게 화사해지는 게좋아서 몇년째 쓰고 있어용 맨날 바르고 다니다보니 주변사람들이 제가 진짜 하얀 피부인줄 알아용얼굴이 자연스럽게 화사해지는 게좋아서 몇년째 쓰고 있어용 맨날 바르고 다니다보니 주변사람들이 제가 진짜 하얀 피부인줄 알아용
