,평점,본문
0,5,디자인도 귀엽고 발림도 좋습니다일반환경에서의 자외선은 SPF 15이상이면 된다고해서 아기들이 사용하는 썬팩트를 구매했습니다 그리고 뭐니뭐니해도 프리메라 제품은 얼굴에 트러블을 디자인도 귀엽고 발림도 좋습니다일반환경에서의 자외선은 SPF 15이상이면 된다고해서 아기들이 사용하는 썬팩트를 구매했습니다 그리고 뭐니뭐니해도 프리메라 제품은 얼굴에 트러블을 일으키지 않아서 쭈우욱 사용해 오고 있습니다 계속 써보고 좋으면 또 구매하겠습니다2개의 포토리뷰2개의 포토리뷰
1,5,초6 딸아이 첫 쿠션ㅎ 썬크림은 바르기 귀찮고 싫어하는데 수학여행 가기전 친구들도 다 이런 쿠션 바르니 본인도 갖고 싶어하는 눈치라 사주니 무지 좋아하네요 여행가서 가을햇빛에 타초6 딸아이 첫 쿠션ㅎ 썬크림은 바르기 귀찮고 싫어하는데 수학여행 가기전 친구들도 다 이런 쿠션 바르니 본인도 갖고 싶어하는 눈치라 사주니 무지 좋아하네요 여행가서 가을햇빛에 타지 말라고 사준건데   거울만 봤는지 탔어요 ㅎㅎ 안발랐다고 믿고 싶네요 효과가 없진 않겠죠 째튼 케이스 소녀소녀해요 초딩 중딩 공쥬님들 좋아할 귀염이 쿠션인듯
2,4,본인이 직접 바른다며 직접 바르겠다고 가져가서 꾹 누르는 바람에 쿠션에 있던 선크림이 다 흘러나와서 케이스 사이사이에 껴버렸어요 주자마자 난감했지만 그래도 제가 화장 할때마다 본인이 직접 바른다며 직접 바르겠다고 가져가서 꾹 누르는 바람에 쿠션에 있던 선크림이 다 흘러나와서 케이스 사이사이에 껴버렸어요 주자마자 난감했지만 그래도 제가 화장 할때마다 자기꺼 주라해서 옆에서 열심히 잘 따라해요백탁 현상이 살짝 있는데 시간이 좀 지나면 흡수되서 그런지 자연스러워집니다
3,5,순한거 같아요 세살 아들이랑 저랑 둘다 피부가 극민감성이라 화장품은 아무거나 쓸수가 없어요근데 햇빛알러지가 있어서 선크림을 안바를순 없고 베이비용이라해도 자극이 가서 사놓고 쓰순한거 같아요 세살 아들이랑 저랑 둘다 피부가 극민감성이라 화장품은 아무거나 쓸수가 없어요근데 햇빛알러지가 있어서 선크림을 안바를순 없고 베이비용이라해도 자극이 가서 사놓고 쓰지 못한 선크림만 열가지는 되네요 제가 먼저 발라보니 아직 트러블이나 자극은 없네요 향이 조금만 강해도 눈시림 증상 느끼는데 눈시림도 없어요 다만 별난 아들 붙잡고 발라주려니 균일하게 바르기가 힘들어서 백탁이 얼룩덜룩 난리네요ㅋㅋㅋㅋ성분 나쁘지 않은거 같아서 바르는 스킬을 터득하고 정착하렵니다
4,5,파데 프리하기에 가장 좋은 선쿠션 민감한 복합성 피부인데 이거는 가렵지도 않고 두드러기도 나지 않아요 바르면 순하다고 느껴져요 데일리 선쿠션으로 파데 대신 바르기 좋고 수정화장파데 프리하기에 가장 좋은 선쿠션 민감한 복합성 피부인데 이거는 가렵지도 않고 두드러기도 나지 않아요 바르면 순하다고 느껴져요 데일리 선쿠션으로 파데 대신 바르기 좋고 수정화장에도 바르기 좋네요 재구매 예정입니다
5,5,얼굴에광채가나네요 초등학생아이들쓰기에좋은거같네요한창멋내기좋아하는딸이까무잡잡한피부에때문에신경쓰던애가아침에이거하나툭툭바르고는뽀얘보이고화사해지는피부보면서넘나맘에들어합니다양이적다고들해얼굴에광채가나네요 초등학생아이들쓰기에좋은거같네요한창멋내기좋아하는딸이까무잡잡한피부에때문에신경쓰던애가아침에이거하나툭툭바르고는뽀얘보이고화사해지는피부보면서넘나맘에들어합니다양이적다고들해서리필함께구매하는게좋을듯하네요
6,4,좋습니다 여름 바캉스 대비용 선쿠션 구매기존 썬크림 있지만 물놀이 중간중간 얼굴에 덧바르려 구매아이들이 엄마 화장품에 호기심이 많아지들거라고 하니 아주 놓아함너무 많이 발라서 좋습니다 여름 바캉스 대비용 선쿠션 구매기존 썬크림 있지만 물놀이 중간중간 얼굴에 덧바르려 구매아이들이 엄마 화장품에 호기심이 많아지들거라고 하니 아주 놓아함너무 많이 발라서 얼굴이 허옇게 되었는데몇 분지나니 금세 흡수됨물로는 잘 안지워짐
7,5,아이가 선크림 바르는 시간을 좋아합니다 패키지도 귀여워요!!아이가 선크림 바르는 시간을 좋아합니다 패키지도 귀여워요!!3개의 포토리뷰3개의 포토리뷰3개의 포토리뷰
8,5,학교를 매일 가게되서 구매하게 되었습니다첨 사봤는데 좋은것 같아요학교를 매일 가게되서 구매하게 되었습니다첨 사봤는데 좋은것 같아요
9,4,아직 안 써봤는데 디자인은 너무 예쁘네요아직 안 써봤는데 디자인은 너무 예쁘네요
10,5,맘에 쏙  들어요맘에 쏙  들어요
11,5,딸아이 소중한 피부를 위해 구매했어요ㅋ딸아이 소중한 피부를 위해 구매했어요ㅋ
12,5,아이쓰려고삿어여 좋아여아이쓰려고삿어여 좋아여
13,4,프리메라 화장품쓰고있어서 믿고 아이들껏도 주문했어요 케이스도 귀엽고 아모레몰보다 저렴하네요프리메라 화장품쓰고있어서 믿고 아이들껏도 주문했어요 케이스도 귀엽고 아모레몰보다 저렴하네요3개의 포토리뷰3개의 포토리뷰3개의 포토리뷰
14,5,빠른 배송 깔끔한 포장빠른 배송 깔끔한 포장3개의 포토리뷰3개의 포토리뷰3개의 포토리뷰
15,5,좋아요 좋아요 넘좋아요좋아요 좋아요 넘좋아요
16,5,아기 얼굴에 자극없이 잘 발려서 좋아요아기 얼굴에 자극없이 잘 발려서 좋아요
17,5,완전 좋아요 끈적이고 번들번들한거 싫어하는데뽀송하게 마무리되고 산뜻해요그렇다고 막 건조한 건 아니에요 저는 건성 복합성가을에 써도 괜찮을듯 하고요팩트 재질도 착 붙는게 맘에 들어완전 좋아요 끈적이고 번들번들한거 싫어하는데뽀송하게 마무리되고 산뜻해요그렇다고 막 건조한 건 아니에요 저는 건성 복합성가을에 써도 괜찮을듯 하고요팩트 재질도 착 붙는게 맘에 들어요
18,5,처음 사용하는덕 기름지지않고 보송하고 좋네요 아이도 좋아합니다처음 사용하는덕 기름지지않고 보송하고 좋네요 아이도 좋아합니다
19,4,배송 빠르고 상품 좋아요배송 빠르고 상품 좋아요
20,5,마스크 트러블 안나서 좋아요마스크 트러블 안나서 좋아요
21,5,아이가 제일좋아해요 조아해요아이가 제일좋아해요 조아해요
22,5,팩트는 편하다고 들었고 추천도 많이 받았지만  사실 처음으로 써봤는데 아이 쓰기 너무 편해요 순한지 잘 모르겠지만 좋아하는 프리메라라 믿고 써요팩트는 편하다고 들었고 추천도 많이 받았지만  사실 처음으로 써봤는데 아이 쓰기 너무 편해요 순한지 잘 모르겠지만 좋아하는 프리메라라 믿고 써요
23,4,순하고 케이스 퍼프까지도 정말 이쁘네요 자차 차단 정도는 여름 아니라 잘 모르겠는데 좋은듯요순하고 케이스 퍼프까지도 정말 이쁘네요 자차 차단 정도는 여름 아니라 잘 모르겠는데 좋은듯요
24,5,만족해요 배송좀느렸지만ㅠ만족해요 배송좀느렸지만ㅠ
25,5,평이 좋아구입했어요평이 좋아구입했어요
26,5,조아요케이스도 넘 예쁘고 고급져보이네요 발림성도 촉촉하고 좋아요대만족합니다
27,5,아기가 눈 따갑거나 하지않아해요아기가 눈 따갑거나 하지않아해요
28,5,여름동안 너무 잘썼어요딸이라그런지 톡톡하는것도 너무좋아하구용 여름동안 너무 잘썼어요딸이라그런지 톡톡하는것도 너무좋아하구용 
29,5,아이가 많이 좋아합니다아이가 많이 좋아합니다
30,4,딸아이 주려고 구매했어요 트러블없으면 다 쓰고 재구매하러 올께요딸아이 주려고 구매했어요 트러블없으면 다 쓰고 재구매하러 올께요
31,5,아이가 거부감없이 혼자 얼굴에 두드리고  재밌어해요  야외나갈때 잘 쓸것같아요아이가 거부감없이 혼자 얼굴에 두드리고  재밌어해요  야외나갈때 잘 쓸것같아요2개의 포토리뷰2개의 포토리뷰
32,5,최고예요초5여아 사용 케이스 이쁘다고 넘좋아해요
33,5,예쁘고 조아요 발라주기 간편해요예쁘고 조아요 발라주기 간편해요
34,5,포장이 잘 되어있어요 잘 쓸게요포장이 잘 되어있어요 잘 쓸게요
35,5,좋아요하애지기도 하네요좋아요하애지기도 하네요
36,5,마음에들고 너무좋아요마음에들고 너무좋아요
37,4,아이가 혼자 바를때 얼굴이 하얗게 되긴 하지만 커버가 되는거 같아 좋아요  아이도 좋아하고요아이가 혼자 바를때 얼굴이 하얗게 되긴 하지만 커버가 되는거 같아 좋아요  아이도 좋아하고요
38,5,늘쓰느는제품  아이들이 좋아해요배송도 무지빠르고 제일저렴늘쓰느는제품  아이들이 좋아해요배송도 무지빠르고 제일저렴
39,5,재구매했어요 22개월아기 트러블없이 잘 사용중이에요재구매했어요 22개월아기 트러블없이 잘 사용중이에요
